also adv S1, W1
able adj S1, W1
although conj S1, W1
about prep S1, W1
about adv S1, W1
always adv S1, W1
area n S1, W1
amount n S1, W1
absolutely adv S1, W3
argument n S1, W1
arm n S1, W1
afford v S1, W3
accept v S1, W1
afraid adj S1, W2
army n S1, W1
afternoon n S1, W2
and conj S1, W1
again adv S1, W1
against prep S1, W1
age n S1, W1
animal n S1, W1
account n S1, W1
art n S1, W1
ago adv S1, W1
as conj S1, W1
agree v S1, W1
answer n S1, W1
answer v S1, W2
ahead adv S1, W2
ask v S1, W1
act n S1, W1
action n S1, W1
air n S1, W1
anybody pron S1, W3
anyone pron S1, W1
actual adj S1, W2
anything pron S1, W1
actually adv S1, W1
anyway adv S1, W2
anywhere adv S1, W3
add v S1, W1
at prep S1, W1
all adv S1, W1
allow v S1, W1
apparently adv S1, W2
almost adv S1, W1
along adv S1, W1
along prep S1, W1
application n S1, W1
apply v S1, W1
already adv S1, W1
beautiful adj S1, W2
budget n S1, W2
because conj S1, W1
build v S1, W1
because prep S1, W1
become v S1, W1
building n S1, W1
bed n S1, W1
blue adj S1, W2
bedroom n S1, W2
board n S1, W1
boat n S1, W2
available adj S1, W1
body n S1, W1
before adv S1, W1
before conj S1, W1
before prep S1, W1
bus n S1, W2
business n S1, W1
begin v S1, W1
busy adj S1, W2
beginning n S1, W2
but conj S1, W1
aware adj S1, W1
book n S1, W1
away adv S1, W1
buy v S1, W1
baby n S1, W1
believe v S1, W1
back adv S1, W1
born v S1, W2
by adv S1, W1
back n S1, W1
by prep S1, W1
bother v S1, W3
bad adj S1, W1
bottle n S1, W2
bottom adj S1, W3
bag n S1, W2
bottom n S1, W3
best adj S1, W1
best adv S1, W2
call n S1, W1
ball n S1, W2
box n S1, W1
call v S1, W1
better adj S1, W1
boy n S1, W1
better adv S1, W1
bank n S1, W1
can modal S1, W1
bar n S1, W1
big adj S1, W1
base v S1, W1
break v S1, W1
bill n S1, W1
birthday n S1, W3
bit n S1, W1
bring v S1, W1
car n S1, W1
be auxiliary S1, W1
black adj S1, W1
card n S1, W2
be v S1, W1
brother n S1, W1
care n S1, W1
care v S1, W2
careful adj S1, W2
collect v S1, W2
carry v S1, W1
college n S1, W2
case n S1, W1
colour n S1, W1
child n S1, W1
consider v S1, W1
come v S1, W1
cat n S1, W3
choice n S1, W1
catch v S1, W1
choose v S1, W1
comment n S1, W2
cause v S1, W1
church n S1, W1
common adj S1, W1
city n S1, W1
cent n S1, W1
community n S1, W1
company n S1, W1
central adj S1, W1
claim v S1, W1
compare v S1, W1
centre n S1, W1
class n S1, W1
continue v S1, W1
certain adj S1, W1
certainly adv S1, W1
contract n S1, W1
clean v S1, W3
chair n S1, W2
clear adj S1, W1
clear v S1, W2
completely adv S1, W2
control n S1, W1
clearly adv S1, W1
chance n S1, W1
conversation n S1, W2
change n S1, W1
computer n S1, W1
change v S1, W1
close adj S1, W1
cook v S1, W3
concern n S1, W1
character n S1, W1
close v S1, W1
concerned adj S1, W1
charge n S1, W1
charge v S1, W2
copy n S1, W2
club n S1, W1
cheap adj S1, W2
corner n S1, W2
correct adj S1, W2
check v S1, W2
check n S1, W3
cost n S1, W1
coffee n S1, W2
cost v S1, W2
cold adj S1, W1
could modal S1, W1
depend v S1, W2
country n S1, W1
couple n S1, W1
course n S1, W1
court n S1, W1
cover n S1, W2
cover v S1, W1
data n S1, W1
date n S1, W1
daughter n S1, W1
day n S1, W1
dead adj S1, W1
deal n S1, W1
do auxiliary S1, W1
deal v S1, W1
do v S1, W1
doctor n S1, W1
dog n S1, W1
dollar n S1, W2
death n S1, W1
development n S1, W1
door n S1, W1
decide v S1, W1
double adj S1, W2
decision n S1, W1
die v S1, W1
doubt n S1, W1
difference n S1, W1
different adj S1, W1
difficult adj S1, W1
dinner n S1, W2
cup n S1, W1
direction n S1, W1
draw v S1, W1
drink n S1, W2
drink v S1, W2
customer n S1, W1
drive v S1, W1
driver n S1, W2
cut v S1, W1
drop v S1, W2
dad n S1, W3
ever adv S1, W1
eye n S1, W1
due adj S1, W1
every determiner S1, W1
everybody pron S1, W3
face n S1, W1
everyone pron S1, W1
face v S1, W1
everything pron S1, W1
during prep S1, W1
fact n S1, W1
exactly adv S1, W2
end n S1, W1
fair adj S1, W2
end v S1, W1
other pron S1, W1
fairly adv S1, W2
example n S1, W1
early adj S1, W1
excellent adj S1, W2
early adv S1, W1
fall v S1, W1
family n S1, W1
enjoy v S1, W1
east n S1, W2
easy adj S1, W1
enough adv S1, W1
eat v S1, W1
far adj S1, W1
far adv S1, W1
education n S1, W1
effect n S1, W1
father n S1, W1
expect v S1, W1
effort n S1, W1
environment n S1, W1
expensive adj S1, W2
egg n S1, W2
experience n S1, W1
either conj S1, W1
equal adj S1, W2
feed v S1, W2
explain v S1, W1
feel v S1, W1
feeling n S1, W1
especially adv S1, W1
else adv S1, W1
field n S1, W1
fight v S1, W1
even adv S1, W1
extra adj S1, W2
figure n S1, W1
evening n S1, W1
figure v S1, W3
event n S1, W1
file n S1, W2
eventually adv S1, W2
fill v S1, W1
green adj S1, W2
film n S1, W1
final adj S1, W1
general adj S1, W1
ground n S1, W1
group n S1, W1
grow v S1, W1
find v S1, W1
forward adv S1, W1
fine adj S1, W1
free adj S1, W1
get v S1, W1
guess v S1, W3
finish v S1, W2
fire n S1, W1
girl n S1, W1
give v S1, W1
firm n S1, W1
first adj S1, W1
first adv S1, W2
glass n S1, W1
guy n S1, W3
fish n S1, W1
friend n S1, W1
hair n S1, W1
go v S1, W1
half n S1, W2
fit v S1, W2
from prep S1, W1
god n S1, W1
front adj S1, W2
front n S1, W1
hand n S1, W1
good adj S1, W1
full adj S1, W1
floor n S1, W1
hang v S1, W2
happen v S1, W1
happy adj S1, W1
hard adj S1, W1
hard adv S1, W2
funny adj S1, W3
hat n S1, W3
further adv S1, W1
hate v S1, W3
follow v S1, W1
have v S1, W1
future adj S1, W1
have v S1, W1
food n S1, W1
future n S1, W1
have v S1, W3
foot n S1, W1
he pron S1, W1
football n S1, W2
head n S1, W1
for prep S1, W1
game n S1, W1
health n S1, W1
hear v S1, W1
forget v S1, W1
heart n S1, W1
garden n S1, W1
form n S1, W1
gas n S1, W2
great adj S1, W1
heavy adj S1, W1
however adv S1, W1
hell n S1, W3
huge adj S1, W2
help n S1, W1
help v S1, W1
her determiner S1, W1
her pron S1, W1
hurt v S1, W2
here adv S1, W1
husband n S1, W1
issue n S1, W1
I pron S1, W1
it pron S1, W1
idea n S1, W1
information n S1, W1
its determiner S1, W1
itself pron S1, W1
high adj S1, W1
job n S1, W1
if conj S1, W1
join v S1, W1
him pron S1, W1
himself pron S1, W1
imagine v S1, W2
hit v S1, W2
hold v S1, W1
instead adv S1, W1
hole n S1, W2
holiday n S1, W2
just adv S1, W1
important adj S1, W1
home adv S1, W1
home n S1, W1
honest adj S1, W3
keep v S1, W1
in adv S1, W1
in prep S1, W1
interest n S1, W1
hope v S1, W1
interested adj S1, W2
kid n S1, W2
include v S1, W1
interesting adj S1, W2
kill v S1, W1
horse n S1, W1
kind n S1, W1
hospital n S1, W1
hot adj S1, W2
kitchen n S1, W2
hour n S1, W1
indeed adv S1, W1
house n S1, W1
into prep S1, W1
knock v S1, W3
know v S1, W1
long adj S1, W1
market n S1, W1
less adv S1, W1
long adv S1, W1
look n S1, W1
look v S1, W1
marry v S1, W2
let v S1, W1
letter n S1, W1
level adj S1, W2
level n S1, W1
lose v S1, W1
lady n S1, W2
material n S1, W1
land n S1, W1
love n S1, W1
life n S1, W1
love v S1, W1
matter n S1, W1
lovely adj S1, W3
matter v S1, W3
light adj S1, W1
low adj S1, W1
may modal S1, W1
language n S1, W1
light n S1, W1
maybe adv S1, W1
large adj S1, W1
me pron S1, W1
last adv S1, W1
like prep S1, W1
mean v S1, W1
like v S1, W1
last v S1, W2
lunch n S1, W2
late adj S1, W1
likely adj S1, W1
later adv S1, W1
machine n S1, W1
line n S1, W1
law n S1, W1
lay v S1, W2
main adj S1, W1
meet v S1, W1
list n S1, W1
meeting n S1, W1
lead v S1, W1
member n S1, W1
listen v S1, W1
major adj S1, W1
make v S1, W1
mention v S1, W1
little adj S1, W1
little adv S1, W1
learn v S1, W1
man n S1, W1
live v S1, W1
manage v S1, W1
management n S1, W1
message n S1, W2
manager n S1, W1
leave v S1, W1
load n S1, W3
method n S1, W1
left adj S1, W1
local adj S1, W1
middle adj S1, W2
middle n S1, W2
leg n S1, W1
might modal S1, W1
mile n S1, W1
mind n S1, W1
mind v S1, W2
music n S1, W1
none pron S1, W2
old adj S1, W1
on prep S1, W1
must modal S1, W1
my determiner S1, W1
once adv S1, W1
minister n S1, W1
myself pron S1, W1
normal adj S1, W1
once conj S1, W1
normally adv S1, W2
one number S1, W1
north n S1, W2
one pron S1, W1
one determiner S1, W1
minute n S1, W1
name n S1, W1
not adv S1, W1
only adj S1, W1
miss v S1, W2
note n S1, W1
only adv S1, W1
onto prep S1, W2
nothing pron S1, W1
open adj S1, W1
national adj S1, W1
notice v S1, W2
open v S1, W1
operation n S1, W1
nature n S1, W1
