adult n S2, W2
appointment n S2, W2
advance n S2, W2
alternative adj S2, W2
approach v S2, W2
advice n S2, W2
advise v S2, W2
arrange v S2, W2
accident n S2, W2
arrangement n S2, W2
accommodation n S2, W2
annual adj S2, W2
aid n S2, W2
aim n S2, W2
aim v S2, W2
assess v S2, W2
active adj S2, W2
aircraft n S2, W2
assumption n S2, W2
address n S2, W2
attach v S2, W2
address v S2, W2
attack n S2, W2
administration n S2, W2
attempt v S2, W2
attend v S2, W2
appoint v S2, W2
attract v S2, W2
attractive adj S2, W2
audience n S2, W2
average adj S2, W2
bone n S2, W2
belong v S2, W2
background n S2, W2
cabinet n S2, W2
balance n S2, W2
band n S2, W2
brain n S2, W2
branch n S2, W2
break n S2, W2
cancer n S2, W2
base n S2, W2
breakfast n S2, W2
bird n S2, W2
birth n S2, W2
capable adj S2, W2
bridge n S2, W2
brief adj S2, W2
bright adj S2, W2
broad adj S2, W2
beach n S2, W2
brown adj S2, W2
career n S2, W2
bear v S2, W2
carefully adv S2, W2
beat v S2, W2
block n S2, W2
chief adj S2, W2
cash n S2, W2
consideration n S2, W2
category n S2, W2
commit v S2, W2
circle n S2, W2
commitment n S2, W2
citizen n S2, W2
contact n S2, W2
contact v S2, W2
context n S2, W2
clean adj S2, W2
contribution n S2, W2
challenge n S2, W2
concentrate v S2, W2
close adv S2, W2
clothes n S2, W2
coal n S2, W2
confidence n S2, W2
code n S2, W2
confirm v S2, W2
council n S2, W2
colleague n S2, W2
connect v S2, W2
danger n S2, W2
dangerous adj S2, W2
description n S2, W2
distance n S2, W2
desk n S2, W2
destroy v S2, W2
divide v S2, W2
credit n S2, W2
crime n S2, W2
dear adj S2, W2
document n S2, W2
debate n S2, W2
cross v S2, W2
cry v S2, W2
define v S2, W2
directly adv S2, W2
definition n S2, W2
current adj S2, W2
dream n S2, W2
currently adv S2, W2
dress n S2, W2
dress v S2, W2
deliver v S2, W2
disappear v S2, W2
drive n S2, W2
cut n S2, W2
dry adj S2, W2
employee n S2, W2
employer n S2, W2
empty adj S2, W2
factory n S2, W2
ear n S2, W2
fall n S2, W2
engine n S2, W2
earn v S2, W2
earth n S2, W2
famous adj S2, W2
eastern adj S2, W2
enquiry n S2, W2
exercise n S2, W2
farm n S2, W2
farmer n S2, W2
edge n S2, W2
existing adj S2, W2
fast adj S2, W2
entirely adv S2, W2
environmental adj S2, W2
experience v S2, W2
equipment n S2, W2
expression n S2, W2
email n S2, W2
email v S2, W2
estate n S2, W2
extremely adv S2, W2
grey adj S2, W2
gentleman n S2, W2
finger n S2, W2
gift n S2, W2
gun n S2, W2
fresh adj S2, W2
fix v S2, W2
gold n S2, W2
hall n S2, W2
flat adj S2, W2
hand v S2, W2
fully adv S2, W2
handle v S2, W2
goods n S2, W2
flower n S2, W2
fly v S2, W2
hardly adv S2, W2
head v S2, W2
forest n S2, W2
gap n S2, W2
grant n S2, W2
grant v S2, W2
heat n S2, W2
grass n S2, W2
formal adj S2, W2
gate n S2, W2
invite v S2, W2
hide v S2, W2
highly adv S2, W2
hill n S2, W2
ignore v S2, W2
joint adj S2, W2
judge n S2, W2
impossible adj S2, W2
insurance n S2, W2
impression n S2, W2
key n S2, W2
hope n S2, W2
internet n S2, W2
interview n S2, W2
knee n S2, W2
independent adj S2, W2
length n S2, W2
marriage n S2, W2
married adj S2, W2
master n S2, W2
match n S2, W2
lift v S2, W2
meal n S2, W2
means n S2, W2
measure v S2, W2
limit n S2, W2
laugh v S2, W2
media n S2, W2
magazine n S2, W2
medical adj S2, W2
mainly adv S2, W2
lead n S2, W2
membership n S2, W2
mental adj S2, W2
leaf n S2, W2
metal n S2, W2
loan n S2, W2
map n S2, W2
mark v S2, W2
noise n S2, W2
minor adj S2, W2
northern adj S2, W2
nose n S2, W2
name v S2, W2
mistake n S2, W2
notice n S2, W2
operate v S2, W2
opposite prep S2, W2
necessarily adv S2, W2
neck n S2, W2
order v S2, W2
negative adj S2, W2
neighbour n S2, W2
obvious adj S2, W2
originally adv S2, W2
newspaper n S2, W2
outside adj S2, W2
plastic n S2, W2
plate n S2, W2
pension n S2, W2
own v S2, W2
owner n S2, W2
prefer v S2, W2
package n S2, W2
perfect adj S2, W2
pleasure n S2, W2
pain n S2, W2
paint n S2, W2
pocket n S2, W2
present adj S2, W2
permanent adj S2, W2
pair n S2, W2
point v S2, W2
president n S2, W2
press n S2, W2
politics n S2, W2
pool n S2, W2
photograph n S2, W2
primary adj S2, W2
partly adv S2, W2
partner n S2, W2
positive adj S2, W2
possibility n S2, W2
priority n S2, W2
prison n S2, W2
post n S2, W2
path n S2, W2
prize n S2, W2
procedure n S2, W2
peace n S2, W2
plane n S2, W2
progress n S2, W2
