adult n S2, W2
appointment n S2, W2
appreciate v S2, W3
advance n S2, W2
alternative adj S2, W2
approach n S2, W1
ability n S2, W1
alternative n S2, W3
approach v S2, W2
appropriate adj S2, W1
advantage n S2, W1
altogether adv S2, W3
approval n S2, W3
abroad adv S2, W3
advice n S2, W2
among prep S2, W1
absolute adj S2, W3
advise v S2, W2
argue v S2, W1
affair n S2, W1
abuse n S2, W3
affect v S2, W1
access n S2, W1
arrange v S2, W2
accident n S2, W2
afterwards adv S2, W3
arrangement n S2, W2
accommodation n S2, W2
to prep S2, W1
arrive v S2, W1
announce v S2, W1
article n S2, W1
accurate adj S2, W3
annual adj S2, W2
achieve v S2, W1
agreement n S2, W1
aid n S2, W2
aim n S2, W2
aspect n S2, W1
act v S2, W1
aim v S2, W2
assess v S2, W2
active adj S2, W2
aircraft n S2, W2
airline n S2, W3
activity n S2, W1
alive adj S2, W3
assume v S2, W1
assumption n S2, W2
apartment n S2, W3
assure v S2, W3
address n S2, W2
attach v S2, W2
address v S2, W2
allowance n S2, W3
attack n S2, W2
appeal n S2, W1
attempt n S2, W1
administration n S2, W2
appear v S2, W1
attempt v S2, W2
attend v S2, W2
apple n S2, W3
attention n S2, W1
attitude n S2, W1
admit v S2, W1
attorney n S2, W3
appoint v S2, W2
attract v S2, W2
attractive adj S2, W2
audience n S2, W2
blood n S2, W1
blow v S2, W3
burn v S2, W3
beer n S2, W3
average adj S2, W2
avoid v S2, W1
bone n S2, W2
but prep S2, W3
but adv S2, W3
behaviour n S2, W1
boot n S2, W3
being n S2, W3
bell n S2, W3
belong v S2, W2
borrow v S2, W3
back v S2, W3
boss n S2, W3
back adj S2, W3
belt n S2, W3
background n S2, W2
bench n S2, W3
cabinet n S2, W2
benefit n S2, W1
cake n S2, W3
benefit v S2, W3
calculate v S2, W3
balance n S2, W2
bound adj S2, W3
bowl n S2, W3
band n S2, W2
camera n S2, W3
brain n S2, W2
branch n S2, W2
campaign n S2, W1
bread n S2, W3
break n S2, W2
cancer n S2, W2
base n S2, W2
breakfast n S2, W2
basic adj S2, W1
bird n S2, W2
birth n S2, W2
basis n S2, W1
brick n S2, W3
capable adj S2, W2
bridge n S2, W2
brief adj S2, W2
bath n S2, W3
briefly adv S2, W3
capital adj S2, W3
bathroom n S2, W3
bright adj S2, W2
brilliant adj S2, W3
broad adj S2, W2
beach n S2, W2
blame v S2, W3
brown adj S2, W2
career n S2, W2
bear v S2, W2
blind adj S2, W3
carefully adv S2, W2
beat v S2, W2
block n S2, W2
carpet n S2, W3
chest n S2, W3
collection n S2, W1
conscious adj S2, W3
chief adj S2, W2
cash n S2, W2
chip n S2, W3
consideration n S2, W2
comfortable adj S2, W3
category n S2, W2
cause n S2, W1
cigarette n S2, W3
commit v S2, W2
circle n S2, W2
commitment n S2, W2
circumstance n S2, W1
citizen n S2, W2
contact n S2, W2
cellphone n S2, W3
communication n S2, W1
contact v S2, W2
contain v S2, W1
claim n S2, W1
century n S2, W1
context n S2, W2
competition n S2, W1
clean adj S2, W2
complain v S2, W3
complete adj S2, W1
complete v S2, W1
contribution n S2, W2
challenge n S2, W2
control v S2, W1
client n S2, W1
concentrate v S2, W2
clock n S2, W3
close adv S2, W2
cool adj S2, W3
cope v S2, W3
clothes n S2, W2
condition n S2, W1
conference n S2, W1
coal n S2, W2
confidence n S2, W2
coat n S2, W3
code n S2, W2
confirm v S2, W2
cheese n S2, W3
council n S2, W2
colleague n S2, W2
connect v S2, W2
count v S2, W3
dish n S2, W3
dance n S2, W3
disk n S2, W3
dance v S2, W3
danger n S2, W2
dangerous adj S2, W2
describe v S2, W1
description n S2, W2
dark adj S2, W1
distance n S2, W2
design n S2, W1
desk n S2, W2
create v S2, W1
destroy v S2, W2
divide v S2, W2
detail n S2, W1
credit n S2, W2
crime n S2, W2
dear adj S2, W2
document n S2, W2
develop v S2, W1
debate n S2, W2
cross v S2, W2
deep adj S2, W1
difficulty n S2, W1
dozen number S2, W3
draft n S2, W3
cry v S2, W2
defence n S2, W1
culture n S2, W1
direct adj S2, W1
define v S2, W2
directly adv S2, W2
definition n S2, W2
director n S2, W1
current adj S2, W2
degree n S2, W1
dream n S2, W2
currently adv S2, W2
dirty adj S2, W3
dress n S2, W2
dress v S2, W2
deliver v S2, W2
disappear v S2, W2
demand n S2, W1
drive n S2, W2
cut n S2, W2
disc n S2, W3
drop n S2, W3
drug n S2, W1
discover v S2, W1
dry adj S2, W2
department n S2, W1
discuss v S2, W1
dry v S2, W3
discussion n S2, W1
employee n S2, W2
employer n S2, W2
employment n S2, W1
facility n S2, W1
empty adj S2, W2
everywhere adv S2, W3
evidence n S2, W1
duty n S2, W1
factory n S2, W2
encourage v S2, W1
fail v S2, W1
fair adv S2, W3
ear n S2, W2
energy n S2, W1
fall n S2, W2
engine n S2, W2
earn v S2, W2
earth n S2, W2
exchange n S2, W1
easily adv S2, W1
exciting adj S2, W3
famous adj S2, W2
eastern adj S2, W2
enormous adj S2, W3
economic adj S2, W1
enquiry n S2, W2
exercise n S2, W2
ensure v S2, W1
farm n S2, W2
economy n S2, W1
enter v S2, W1
farmer n S2, W2
edge n S2, W2
exist v S2, W1
existing adj S2, W2
fast adj S2, W2
fast adv S2, W3
fat adj S2, W3
entirely adv S2, W2
effective adj S2, W1
fault n S2, W3
favour n S2, W3
environmental adj S2, W2
experience v S2, W2
feature n S2, W1
equipment n S2, W2
election n S2, W1
electric adj S2, W3
electricity n S2, W3
element n S2, W1
essentially adv S2, W3
express v S2, W1
establish v S2, W1
expression n S2, W2
email n S2, W2
email v S2, W2
estate n S2, W2
extent n S2, W1
fight n S2, W3
extremely adv S2, W2
green n S2, W3
former adj S2, W1
grey adj S2, W2
finally adv S2, W1
generally adv S2, W1
financial adj S2, W1
forward adj S2, W3
gentleman n S2, W2
guarantee v S2, W3
finger n S2, W2
gift n S2, W2
freeway n S2, W3
guilty adj S2, W3
glad adj S2, W3
gun n S2, W2
fresh adj S2, W2
friendly adj S2, W3
fit adj S2, W3
goal n S2, W1
fix v S2, W2
gold n S2, W2
fruit n S2, W3
hall n S2, W2
flat adj S2, W2
golf n S2, W3
flat n S2, W3
hand v S2, W2
fully adv S2, W2
handle v S2, W2
fun adj S2, W3
fun n S2, W3
goods n S2, W2
flower n S2, W2
fly v S2, W2
government n S2, W1
hardly adv S2, W2
furniture n S2, W3
grab v S2, W3
folk n S2, W3
grade n S2, W3
grand adj S2, W3
head v S2, W2
force n S2, W1
force v S2, W1
forest n S2, W2
gap n S2, W2
forever adv S2, W3
grant n S2, W2
grant v S2, W2
heat n S2, W2
grass n S2, W2
form v S2, W1
formal adj S2, W2
gate n S2, W2
height n S2, W3
individual adj S2, W1
human adj S2, W1
individual n S2, W1
investment n S2, W1
invite v S2, W2
industry n S2, W1
involve v S2, W1
helpful adj S2, W3
involved adj S2, W3
iron n S2, W3
herself pron S2, W1
ice n S2, W3
hide v S2, W2
identify v S2, W1
jacket n S2, W3
highly adv S2, W2
hill n S2, W2
ignore v S2, W2
joint adj S2, W2
joke n S2, W3
hire v S2, W3
image n S2, W1
judge n S2, W2
history n S2, W1
immediately adv S2, W1
hold n S2, W3
jump v S2, W3
impossible adj S2, W2
insurance n S2, W2
impression n S2, W2
improve v S2, W1
intend v S2, W1
key n S2, W2
hope n S2, W2
inch n S2, W3
