alter v S3, W3
approve v S3, W2
advertise v S3, W3
approximate adj S3, W3
architecture n S3, W3
absence n S3, W2
adviser n S3, W3
arise v S3, W2
analysis n S3, W1
armed adj S3, W3
acceptable adj S3, W3
angle n S3, W3
angry adj S3, W3
account v S3, W2
agency n S3, W1
announcement n S3, W3
agent n S3, W2
artist n S3, W2
achievement n S3, W2
acknowledge v S3, W3
aside adv S3, W3
anxiety n S3, W3
anxious adj S3, W3
assessment n S3, W2
assist v S3, W3
airport n S3, W3
assistance n S3, W2
album n S3, W3
associate v S3, W2
association n S3, W1
ad n S3, W3
addition n S3, W1
additional adj S3, W2
atmosphere n S3, W2
adequate adj S3, W3
attack v S3, W2
appeal v S3, W3
adopt v S3, W2
beauty n S3, W2
aunt n S3, W3
blow n S3, W3
automatically adv S3, W3
bomb n S3, W3
award n S3, W2
behalf n S3, W3
behave v S3, W3
border n S3, W2
belief n S3, W2
buyer n S3, W3
bend v S3, W3
badly adv S3, W3
beside prep S3, W2
calm adj S3, W3
camp n S3, W3
baseball n S3, W2
breath n S3, W2
breathe v S3, W3
capacity n S3, W2
capital n S3, W1
bitter adj S3, W3
connection n S3, W2
column n S3, W2
consequence n S3, W2
combination n S3, W2
combine v S3, W2
considerable adj S3, W1
consistent adj S3, W3
constant adj S3, W3
comment v S3, W3
constantly adv S3, W3
commercial adj S3, W2
CD n S3, W3
commission n S3, W2
construction n S3, W2
ceiling n S3, W3
consult v S3, W3
committee n S3, W1
consumer n S3, W2
cell n S3, W2
communicate v S3, W3
civil adj S3, W2
centimetre n S3, W3
content n S3, W2
comparison n S3, W2
compete v S3, W3
classroom n S3, W3
competitive adj S3, W3
continuous adj S3, W3
certificate n S3, W3
complaint n S3, W3
chain n S3, W2
contribute v S3, W2
chairman n S3, W1
complex adj S3, W2
challenge v S3, W3
channel n S3, W2
concentration n S3, W2
convince v S3, W3
concept n S3, W2
chapter n S3, W1
cookie n S3, W3
characteristic n S3, W2
closely adv S3, W2
concert n S3, W3
cooperation n S3, W3
conclude v S3, W2
charity n S3, W3
conclusion n S3, W2
chart n S3, W3
cloud n S3, W3
coach n S3, W2
coast n S3, W2
confident adj S3, W3
corridor n S3, W3
conflict n S3, W2
cottage n S3, W3
chemical n S3, W3
confusion n S3, W3
daily adj S3, W2
disease n S3, W1
damage n S3, W2
countryside n S3, W3
damage v S3, W3
deposit n S3, W3
depth n S3, W3
display n S3, W2
dare v S3, W3
deserve v S3, W3
design v S3, W1
database n S3, W3
distinguish v S3, W3
date v S3, W3
desperate adj S3, W3
district n S3, W2
despite prep S3, W1
division n S3, W1
card n S3, W3
crew n S3, W3
criminal adj S3, W2
crisis n S3, W2
device n S3, W2
critical adj S3, W2
debt n S3, W2
criticism n S3, W2
cross n S3, W3
diet n S3, W2
crowd n S3, W2
downtown adv S3, W3
drag v S3, W3
defend v S3, W3
direct v S3, W2
drawing n S3, W3
dream v S3, W3
curtain n S3, W3
disabled adj S3, W3
curve n S3, W3
delivery n S3, W3
disappointed adj S3, W3
disaster n S3, W3
demonstrate v S3, W2
discipline n S3, W3
cycle n S3, W3
deny v S3, W2
employ v S3, W2
dust n S3, W3
enable v S3, W1
factor n S3, W1
evil adj S3, W3
DVD n S3, W3
failure n S3, W2
examine v S3, W2
faith n S3, W2
engineer n S3, W3
exception n S3, W2
engineering n S3, W3
familiar adj S3, W2
excitement n S3, W3
fan n S3, W2
executive n S3, W2
exercise v S3, W2
entertainment n S3, W3
existence n S3, W2
fashion n S3, W2
educational adj S3, W2
entire adj S3, W2
expand v S3, W3
entitle v S3, W3
effectively adv S3, W2
entrance n S3, W3
expectation n S3, W2
entry n S3, W2
efficient adj S3, W3
expense n S3, W2
favourite adj S3, W3
fear n S3, W1
equally adv S3, W2
experiment n S3, W2
elderly adj S3, W2
fee n S3, W3
elect v S3, W3
expert n S3, W2
error n S3, W2
explanation n S3, W2
escape v S3, W2
explore v S3, W2
electronic adj S3, W3
female adj S3, W2
elevator n S3, W3
essential adj S3, W2
festival n S3, W3
elsewhere adv S3, W2
extend v S3, W2
extension n S3, W3
estimate n S3, W2
estimate v S3, W2
emergency n S3, W3
emotional adj S3, W3
extraordinary adj S3, W3
emphasis n S3, W2
extreme adj S3, W3
emphasize v S3, W2
file v S3, W3
gather v S3, W2
gay adj S3, W3
formula n S3, W3
gene n S3, W3
finance n S3, W2
generate v S3, W2
fortune n S3, W3
generation n S3, W2
growth n S3, W1
gentle adj S3, W3
frame n S3, W3
guard n S3, W3
genuine adj S3, W3
free v S3, W3
guest n S3, W2
freedom n S3, W2
guidance n S3, W3
guide n S3, W2
fire v S3, W3
freeze v S3, W3
firm adj S3, W2
guitar n S3, W3
frequently adv S3, W2
habit n S3, W3
gold adj S3, W3
fixed adj S3, W3
fuel n S3, W2
flight n S3, W2
flow n S3, W2
function n S3, W1
fund n S3, W1
fund v S3, W3
focus n S3, W2
focus v S3, W2
harm n S3, W3
gradually adv S3, W3
following adj S3, W1
grammar n S3, W3
