alter v S3, W3
appreciate v S2, W3
alternative n S2, W3
altogether adv S2, W3
approval n S2, W3
advertise v S3, W3
approximate adj S3, W3
abroad adv S2, W3
architecture n S3, W3
absolute adj S2, W3
absolutely adv S1, W3
adviser n S3, W3
abuse n S2, W3
afford v S1, W3
armed adj S3, W3
acceptable adj S3, W3
afterwards adv S2, W3
angle n S3, W3
angry adj S3, W3
announcement n S3, W3
accurate adj S2, W3
acknowledge v S3, W3
aside adv S3, W3
anxiety n S3, W3
anxious adj S3, W3
airline n S2, W3
anybody pron S1, W3
assist v S3, W3
airport n S3, W3
album n S3, W3
ad n S3, W3
alive adj S2, W3
anywhere adv S1, W3
apartment n S2, W3
assure v S2, W3
allowance n S2, W3
adequate adj S3, W3
appeal v S3, W3
apple n S2, W3
attorney n S2, W3
aunt n S3, W3
blow v S2, W3
blow n S3, W3
automatically adv S3, W3
burn v S2, W3
beer n S2, W3
bomb n S3, W3
behalf n S3, W3
but prep S2, W3
behave v S3, W3
but adv S2, W3
boot n S2, W3
being n S2, W3
buyer n S3, W3
bell n S2, W3
borrow v S2, W3
back v S2, W3
boss n S2, W3
back adj S2, W3
belt n S2, W3
bench n S2, W3
bend v S3, W3
bother v S1, W3
cake n S2, W3
badly adv S3, W3
benefit v S2, W3
bottom adj S1, W3
calculate v S2, W3
bottom n S1, W3
bound adj S2, W3
bowl n S2, W3
calm adj S3, W3
camera n S2, W3
camp n S3, W3
bread n S2, W3
breathe v S3, W3
birthday n S1, W3
brick n S2, W3
bath n S2, W3
briefly adv S2, W3
capital adj S2, W3
bathroom n S2, W3
brilliant adj S2, W3
bitter adj S3, W3
blame v S2, W3
blind adj S2, W3
carpet n S2, W3
chest n S2, W3
conscious adj S2, W3
chip n S2, W3
cat n S1, W3
comfortable adj S2, W3
consistent adj S3, W3
constant adj S3, W3
comment v S3, W3
constantly adv S3, W3
CD n S3, W3
cigarette n S2, W3
ceiling n S3, W3
consult v S3, W3
communicate v S3, W3
cellphone n S2, W3
centimetre n S3, W3
compete v S3, W3
classroom n S3, W3
competitive adj S3, W3
continuous adj S3, W3
complain v S2, W3
certificate n S3, W3
clean v S1, W3
complaint n S3, W3
challenge v S3, W3
clock n S2, W3
convince v S3, W3
cook v S1, W3
cookie n S3, W3
cool adj S2, W3
concert n S3, W3
cooperation n S3, W3
cope v S2, W3
charity n S3, W3
chart n S3, W3
cloud n S3, W3
confident adj S3, W3
check n S1, W3
coat n S2, W3
corridor n S3, W3
cheese n S2, W3
cottage n S3, W3
chemical n S3, W3
confusion n S3, W3
count v S2, W3
countryside n S3, W3
damage v S3, W3
deposit n S3, W3
dish n S2, W3
dance n S2, W3
disk n S2, W3
dance v S2, W3
depth n S3, W3
dare v S3, W3
deserve v S3, W3
database n S3, W3
distinguish v S3, W3
date v S3, W3
desperate adj S3, W3
card n S3, W3
crew n S3, W3
cross n S3, W3
downtown adv S3, W3
dozen number S2, W3
draft n S2, W3
drag v S3, W3
defend v S3, W3
drawing n S3, W3
dream v S3, W3
dirty adj S2, W3
curtain n S3, W3
disabled adj S3, W3
curve n S3, W3
delivery n S3, W3
disappointed adj S3, W3
disaster n S3, W3
disc n S2, W3
drop n S2, W3
discipline n S3, W3
cycle n S3, W3
dad n S1, W3
dry v S2, W3
everybody pron S1, W3
everywhere adv S2, W3
dust n S3, W3
evil adj S3, W3
DVD n S3, W3
fair adv S2, W3
engineer n S3, W3
engineering n S3, W3
excitement n S3, W3
exciting adj S2, W3
enormous adj S2, W3
entertainment n S3, W3
fast adv S2, W3
expand v S3, W3
fat adj S2, W3
entitle v S3, W3
fault n S2, W3
entrance n S3, W3
favour n S2, W3
efficient adj S3, W3
favourite adj S3, W3
fee n S3, W3
elect v S3, W3
electric adj S2, W3
electricity n S2, W3
electronic adj S3, W3
elevator n S3, W3
essentially adv S2, W3
festival n S3, W3
extension n S3, W3
fight n S2, W3
emergency n S3, W3
emotional adj S3, W3
extraordinary adj S3, W3
figure v S1, W3
extreme adj S3, W3
file v S3, W3
gay adj S3, W3
green n S2, W3
formula n S3, W3
gene n S3, W3
fortune n S3, W3
forward adj S2, W3
gentle adj S3, W3
guarantee v S2, W3
frame n S3, W3
guard n S3, W3
genuine adj S3, W3
guess v S1, W3
free v S3, W3
guidance n S3, W3
freeway n S2, W3
fire v S3, W3
freeze v S3, W3
guilty adj S2, W3
glad adj S2, W3
guitar n S3, W3
guy n S1, W3
habit n S3, W3
friendly adj S2, W3
fit adj S2, W3
gold adj S3, W3
fixed adj S3, W3
fruit n S2, W3
golf n S2, W3
flat n S2, W3
fun adj S2, W3
fun n S2, W3
fund v S3, W3
funny adj S1, W3
harm n S3, W3
furniture n S2, W3
grab v S2, W3
hat n S1, W3
folk n S2, W3
grade n S2, W3
hate v S1, W3
gradually adv S3, W3
grammar n S3, W3
have v S1, W3
grand adj S2, W3
healthy adj S3, W3
forever adv S2, W3
grateful adj S3, W3
gasoline n S3, W3
heaven n S3, W3
invest v S3, W3
height n S2, W3
indication n S3, W3
hell n S1, W3
helpful adj S2, W3
involved adj S2, W3
iron n S2, W3
hers pron S3, W3
ice n S2, W3
inform v S3, W3
ideal adj S3, W3
initially adv S3, W3
jacket n S2, W3
joke n S2, W3
hire v S2, W3
illness n S3, W3
imagination n S3, W3
judge v S3, W3
hit n S3, W3
inspector n S3, W3
hold n S2, W3
jump v S2, W3
jury n S3, W3
justify v S3, W3
impress v S3, W3
keen adj S3, W3
honest adj S1, W3
intelligence n S3, W3
inch n S2, W3
kick v S2, W3
kilometre n S3, W3
kind adj S2, W3
kiss v S3, W3
knife n S3, W3
knock v S1, W3
marketing n S3, W3
lesson n S2, W3
label n S3, W3
loose adj S3, W3
massive adj S2, W3
lad n S2, W3
lost adj S2, W3
